"Stream","Reach","Date","SurNum","Weather","StartTime","EndTime","Worker1","Worker2","Worker3","Comments"
"Bear","Upper","2012-07-23","5","Overcast","8:45","3:30","BA","MC","NA","300m slows to a trickle; dry: 420-421m, 427-430m, 431-432m, 433-439m, 440-450m, 451-453m, 457-461m, 462-465m"
"ZigZag","Lower","2012-07-23","3","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Upper","2012-07-24","5","Overcast","9:00","11:30","MC","BA","NA",""
"Cascade","Upper","2012-07-25","6","Overcast, Rain","9:00","11:45","BA","MC","NA","EB LARVAE"
"ZigZag","Upper","2012-07-26","5","Overcast, Rain","9:30","2:30","MC","BA","NA",""
"Paradise","Upper","2012-07-27","5","Overcast, Rain","8:30","2:00","BA","MC","NA","EB LARVAE"
"Bear","Upper","2012-07-28","6","Overcast","9:00","3:30","MC","BA","NA",""
"Canyon","Upper","2012-07-29","6","Overcast","9:00","11:15","BA","MC","NA",""
"Cascade","Upper","2012-07-30","7","Sunny, Partly cloudy","9:00","11:30","MC","BA","NA",""
"ZigZag","Upper","2012-07-31","6","Sunny","9:00","12:45","BA","MC","NA",""
"Paradise","Upper","2012-08-01","6","Overcast, Partly cloudy","8:30","3:00","ED","BA","NA","EB LARVAE at 317m, 369m"
"Bear","Upper","2012-08-05","7","Overcast","8:45","1:15","BA","MC","NA","EB Larvae"
"Canyon","Upper","2012-08-06","7","Sunny, Partly cloudy","10:45","1:30","MC","BA","NA",""
"Cascade","Upper","2012-08-07","8","Sunny","9:00","11:45","BA","MC","NA","EB LARVAE"
"ZigZag","Lower","2012-08-07","4","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2012-08-08","7","Sunny","8:50","12:35","MC","BA","NA",""
"Canyon","Lower","2012-08-09","4","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2012-08-09","4","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2012-08-09","7","Sunny, Partly cloudy","8:30","2:30","BA","MC","NA",""
"Bear","Lower","2012-08-13","4","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Upper","2012-08-13","8","Sunny, Partly cloudy","8:35","12:25","MC","BA","NA","skipped 3 survey days due to high water; water still higher than normal, but surveyable"
"Cascade","Lower","2012-08-13","4","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2012-08-14","5","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Upper","2012-08-14","8","Sunny","8:45","10:45","BA","MC","NA","high water; EB larvae"
"Cascade","Upper","2012-08-14","NA","Sunny","11:20","12:50","MC","BA","NA","high water, not included in CMR"
"ZigZag","Lower","2012-08-14","5","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2012-08-15","5","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2012-08-15","8","Overcast","9:00","12:00","BA","MC","NA",""
"Bear","Lower","2012-08-16","5","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2012-08-16","8","Overcast","8:40","11:55","MC","BA","NA","high water"
"Bear","Upper","2012-08-17","9","Sunny","8:45","1:00","BA","MC","NA",""
"Canyon","Upper","2012-08-17","9","Sunny, Partly cloudy","1:55","3:40","MC","BA","NA",""
"Cascade","Lower","2012-08-17","5","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Upper","2012-08-18","9","Sunny","9:00","11:45","BA","MC","NA",""
"ZigZag","Lower","2012-08-18","6","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2012-08-18","9","Sunny","12:30","3:30","MC","BA","NA",""
"Canyon","Lower","2012-08-19","6","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2012-08-19","9","Sunny","9:30","1:45","BA","MC","NA",""
"Paradise","Lower","2012-08-20","6","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2012-08-21","6","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2012-08-22","6","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2012-08-29","7","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2012-08-30","7","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2012-08-31","7","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2012-09-01","7","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2012-09-02","7","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2012-09-03","8","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2012-09-04","8","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2012-09-05","8","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2012-09-06","8","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2012-09-07","8","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2012-09-08","9","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2012-09-09","9","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2012-09-10","9","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2012-09-11","9","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2012-09-12","9","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2013-06-23","10","Overcast, Sunny","9:20","1:20","BA","JM","NA",""
"Cascade","Upper","2013-06-24","10","Sunny","9:30","1:00","BA","JM","NA",""
"Bear","Upper","2013-06-25","10","Partly cloudy","9:00","1:00","BA","JM","NA",""
"Canyon","Upper","2013-06-26","10","Overcast, Rain","9:00","12:00","BA","JM","NA",""
"Paradise","Upper","2013-06-27","10","Overcast, Rain","9:00","1:00","BA","JM","NA",""
"Cascade","Upper","2013-07-01","11","Overcast, Rain","2:00","4:30","BA","JM","NA",""
"ZigZag","Upper","2013-07-01","11","Overcast, Rain","9:00","1:15","BA","JM","NA",""
"Bear","Upper","2013-07-06","11","Sunny","8:45","1:30","BA","JM","NA",""
"Canyon","Upper","2013-07-06","11","Overcast, Partly cloudy","3:00","5:15","BA","JM","NA",""
"Bear","Lower","2013-07-07","10","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2013-07-07","11","Overcast","9:45","7:00","BA","JM","NA",""
"Canyon","Lower","2013-07-08","10","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Upper","2013-07-08","12","Overcast, Rain","1:00","3:45","BA","JM","NA","Stopped survey at 3:00 due to heavy rain and thunder; worked 45 minutes on 7/10 to finish survey"
"ZigZag","Upper","2013-07-08","12","Overcast, Rain","9:00","12:14","BA","JM","NA",""
"Canyon","Upper","2013-07-10","12","Raining","10:00","12:00","BA","JM","NA","no animals caught"
"Cascade","Lower","2013-07-10","10","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2013-07-10","10","NA","NA","NA","NA","NA","NA","Estimated date, no captures this day, missing data"
"Bear","Upper","2013-07-12","12","Sunny","8:45","1:15","BA","JM","NA",""
"Paradise","Lower","2013-07-12","10","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2013-07-13","11","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2013-07-13","12","Sunny, Partly cloudy","11:45","4:30","BA","JM","NA",""
"Canyon","Lower","2013-07-14","11","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2013-07-14","11","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2013-07-15","11","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2013-07-16","11","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2013-07-16","13","Sunny, Partly cloudy","9:00","2:00","BA","JM","NA",""
"Bear","Lower","2013-07-17","12","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Upper","2013-07-17","13","Sunny","9:15","12:15","BA","JM","NA",""
"Bear","Upper","2013-07-18","13","Sunny","8:45","3:30","BA","JM","NA",""
"Canyon","Lower","2013-07-18","12","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2013-07-19","12","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Upper","2013-07-20","13","Overcast, Partly cloudy","11:00","1:30","BA","JM","NA",""
"Cascade","Lower","2013-07-20","12","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2013-07-21","12","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2013-07-21","13","Sunny","8:45","5:15","BA","JM","NA",""
"Cascade","Upper","2013-07-22","14","Overcast, Rain","1:00","4:45","BA","JM","NA",""
"ZigZag","Upper","2013-07-22","14","Overcast","9:30","1:00","BA","JM","NA",""
"Bear","Upper","2013-07-26","14","Overcast, Rain","11:30","5:00","BA","JM","NA",""
"Canyon","Upper","2013-07-26","14","Overcast, Partly cloudy","9:00","10:45","BA","JM","NA",""
"Paradise","Upper","2013-07-27","14","Sunny","10:15","4:30","BA","JM","NA",""
"Cascade","Upper","2013-07-28","15","Overcast","3:15","6:00","BA","JM","NA",""
"ZigZag","Upper","2013-07-28","15","Overcast, Partly cloudy","10:00","2:30","BA","JM","NA",""
"Bear","Upper","2013-07-29","15","Overcast, Rain","9:00","1:30","BA","JM","NA",""
"ZigZag","Lower","2013-07-29","13","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2013-07-30","13","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Upper","2013-07-30","15","Sunny","8:00","10:00","BA","JM","NA","Rained previous night"
"Paradise","Upper","2013-07-30","NA","Sunny, Partly cloudy","10:45","12:30","BA","JM","NA","only did first 100m of survey; water too high"
"Paradise","Lower","2013-07-31","13","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2013-07-31","15","Sunny, Partly cloudy","8:45","1:30","BA","JM","NA","redid first 100m + rest of transect"
"Bear","Lower","2013-08-01","13","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2013-08-03","14","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2013-08-03","16","Sunny","10:00","1:30","BA","JM","NA",""
"Canyon","Lower","2013-08-04","14","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2013-08-04","13","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Upper","2013-08-04","16","Sunny, Rain","10:30","1:45","BA","JM","NA","rained during survey, stopped survey for 30 min then resumed"
"Bear","Upper","2013-08-05","16","Sunny","9:00","2:45","BA","JM","NA",""
"Paradise","Lower","2013-08-05","14","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Upper","2013-08-06","16","Overcast","3:45","6:00","BA","JM","NA",""
"Bear","Lower","2013-08-07","14","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2013-08-07","16","Sunny, Partly cloudy","8:30","2:30","BA","JM","NA",""
"Cascade","Lower","2013-08-08","14","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Upper","2013-08-08","17","Overcast","1:00","3:30","BA","JM","NA",""
"ZigZag","Lower","2013-08-08","15","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2013-08-08","17","Overcast, Rain","9:10","12:05","BA","JM","NA",""
"Canyon","Lower","2013-08-09","15","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2013-08-11","15","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Upper","2013-08-11","17","Sunny","8:45","2:15","BA","JM","NA",""
"Paradise","Lower","2013-08-11","15","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Upper","2013-08-12","17","Sunny, Partly cloudy","9:00","11:00","BA","JM","NA",""
"Cascade","Lower","2013-08-12","15","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Upper","2013-08-12","17","Sunny, Partly cloudy","11:45","4:00","BA","JM","NA",""
"ZigZag","Upper","2013-08-13","18","Overcast, Rain","9:00","9:30","BA","JM","NA","only surveyed first 50m because began to rain heavily.  Continued survey on 8/15"
"Cascade","Upper","2013-08-15","18","Sunny","12:20","2:50","BA","JM","NA",""
"ZigZag","Upper","2013-08-15","18","Sunny","8:50","11:20","BA","JM","NA",""
"Bear","Upper","2013-08-16","18","Sunny, Partly cloudy","12:00","3:30","BA","JM","NA",""
"Canyon","Upper","2013-08-16","18","Sunny","8:45","10:45","BA","JM","NA",""
"Paradise","Upper","2013-08-17","18","Sunny","8:30","1:45","BA","JM","NA",""
"Paradise","Lower","2013-08-20","16","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2013-08-21","16","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2013-08-21","16","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2013-08-22","16","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2013-08-23","16","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2013-08-25","17","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2013-08-26","17","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2013-08-26","17","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2013-08-27","17","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2013-08-28","17","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Paradise","Lower","2013-08-30","18","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Canyon","Lower","2013-08-31","18","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Lower","2013-08-31","18","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Cascade","Lower","2013-09-01","18","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"Bear","Lower","2013-09-02","18","NA","NA","NA","NA","NA","NA","Missing weather, start and end times, and worker info"
"ZigZag","Upper","2014-06-18","19","Overcast, Windy","10:00","4:30","LL","BA","NA",""
"Bear","Upper","2014-06-19","19","Sunny","9:15","6:30","BA","LL","JH",""
"ZigZag","Lower","2014-06-19","19","Sunny","9:40","14:10","JN","LN","JD",""
"Canyon","Upper","2014-06-20","19","Sunny","9:00","12:00","LL","BA","NA",""
"Paradise","Lower","2014-06-20","19","Sunny","9:36","16:15","LN","JN","JD",""
"Canyon","Lower","2014-06-21","19","Sunny","9:21","15:15","JD","JN","NA",""
"Paradise","Upper","2014-06-21","19","Sunny, Partly cloudy","8:30","3:15","BA","LL","NA",""
"Bear","Lower","2014-06-22","19","Sunny","9:24","14:35","JN","LN","JD",""
"Cascade","Upper","2014-06-22","19","Sunny","9:15","12:00","LL","BA","NA",""
"Cascade","Lower","2014-06-23","19","Sunny","9:26","14:07","LN","JN","JD",""
"ZigZag","Upper","2014-06-23","20","Sunny, Partly cloudy","9:00","4:30","BA","LL","NA",""
"Bear","Upper","2014-06-24","20","Overcast","9:00","5:45","LL","BA","NA",""
"ZigZag","Lower","2014-06-24","20","Overcast","9:35","13:23","JD","LN","NA",""
"Canyon","Upper","2014-06-25","20","Overcast, Rain","8:45","1:00","BA","LL","NA",""
"Paradise","Lower","2014-06-25","20","Overcast","9:19","14:47","JN","JD","LN",""
"Canyon","Lower","2014-06-29","20","Sunny","9:10","13:00","JN","JD","LN",""
"Paradise","Upper","2014-06-29","20","Sunny","9:30","2:00","LL","BA","NA","high water"
"Bear","Lower","2014-06-30","20","Sunny","8:06","13:33","LN","JN","JD",""
"Cascade","Lower","2014-06-30","20","Partly cloudy","14:03","14:20","JD","LN","JN",""
"Cascade","Upper","2014-06-30","20","Sunny","8:45","11:30","BA","LL","NA",""
"ZigZag","Upper","2014-06-30","21","Sunny","12:15","4:00","LL","BA","NA",""
"Bear","Upper","2014-07-01","21","Sunny","8:30","2:30","BA","LL","JH",""
"Paradise","Lower","2014-07-01","21","Partly cloudy","12:57","16:41","JD","LN","JN",""
"ZigZag","Lower","2014-07-01","21","Overcast","8:28","11:44","LN","JN","JD",""
"Canyon","Lower","2014-07-02","21","Partly cloudy","9:23","12:38","JN","JD","LN",""
"Paradise","Upper","2014-07-02","21","Sunny","9:15","3:15","BA","LL","NA","murky water last 150m due to construction at weir"
"Bear","Lower","2014-07-03","21","Overcast","9:13","13:54","JD","LN","JN",""
"Canyon","Upper","2014-07-03","21","Overcast","7:45","9:45","LL","BA","NA",""
"Cascade","Upper","2014-07-03","21","Overcast,  Partly cloudy","10:15","12:30","LL","BA","NA",""
"Cascade","Lower","2014-07-04","21","Overcast","9:52","12:58","JN","LN","NA",""
"Paradise","Upper","2014-07-09","22","Overcast,  Partly cloudy","1:00","5:15","LL","BA","NA",""
"Canyon","Upper","2014-07-10","22","Sunny","2:00","3:45","BA","LL","NA",""
"ZigZag","Lower","2014-07-10","22","Sunny","14:47","17:49","LN","JN","NA",""
"Bear","Upper","2014-07-11","22","Sunny","8:45","1:45","LL","BA","NA",""
"Paradise","Lower","2014-07-11","22","Partly cloudy","9:49","14:18","JN","LN","NA",""
"Bear","Lower","2014-07-12","22","Sunny","9:29","15:26","LN","JN","NA",""
"ZigZag","Upper","2014-07-12","22","Sunny","8:30","2:15","BA","LL","NA",""
"Canyon","Lower","2014-07-13","22","Overcast","9:29","13:14","JN","LN","NA",""
"Cascade","Upper","2014-07-13","22","Sunny,  Overcast","10:30","1:00","LL","BA","NA",""
"Cascade","Lower","2014-07-14","22","Sunny","10:01","14:20","LN","JN","NA",""
"Paradise","Upper","2014-07-14","23","Overcast,  Partly cloudy","8:30","1:30","BA","LL","NA",""
"Canyon","Upper","2014-07-15","23","Overcast","8:45","10:30","LL","BA","NA",""
"ZigZag","Lower","2014-07-15","23","Overcast","9:15","12:35","JN","LN","NA",""
"Bear","Upper","2014-07-18","23","Sunny","8:30","1:45","BA","LL","JH","surveyed first 100m on 7/17 but water too high"
"Paradise","Lower","2014-07-18","23","Sunny","9:18","15:14","LN","JN","NA",""
"ZigZag","Upper","2014-07-18","23","Sunny","12:30","3:45","LL","BA","JH",""
"Bear","Lower","2014-07-19","23","Partly cloudy","8:19","12:15","JN","LN","NA",""
"Canyon","Lower","2014-07-19","23","Overcast","12:53","17:25","LN","JN","NA",""
"Cascade","Upper","2014-07-19","23","Overcast","9:00","NA","LL","BA","NA",""
"Canyon","Upper","2014-07-20","24","Sunny","15:00","5:00","BA","LL","NA",""
"Cascade","Lower","2014-07-20","23","Overcast","12:27","15:33","JN","LN","NA",""
"Paradise","Upper","2014-07-20","24","Overcast","8:30","NA","BA","LL","NA",""
"ZigZag","Lower","2014-07-20","24","Overcast","8:45","11:40","LN","JN","NA",""
"Bear","Upper","2014-07-21","24","Sunny","8:45","2:00","LL","BA","NA",""
"Paradise","Lower","2014-07-21","24","Sunny","8:41","13:52","JN","LN","NA",""
"Bear","Lower","2014-07-22","24","Sunny","9:42","15:08","LN","JN","NA",""
"ZigZag","Upper","2014-07-22","24","Sunny","8:45","2:00","BA","LL","NA",""
"Canyon","Lower","2014-07-23","24","Partly cloudy","9:29","12:55","JN","LN","NA",""
"Cascade","Upper","2014-07-23","24","Sunny","9:00","11:30","LL","BA","NA",""
"Cascade","Lower","2014-07-25","24","Sunny","9:08","11:53","LN","JN","NA",""
"ZigZag","Lower","2014-07-31","25","Overcast","9:41","12:04","JN","LN","NA","water high/fast"
"Paradise","Lower","2014-08-01","25","Sunny","10:03","17:56","LN","JN","NA",""
"Paradise","Upper","2014-08-01","25","NA","8:30","12:15","BA","LL","NA","did first 100 m on 7/31, water level still a bit high"
"Bear","Lower","2014-08-02","25","Overcast","9:57","14:46","JN","LN","NA",""
"Canyon","Upper","2014-08-02","25","Overcast","8:45","11:00","LL","BA","NA",""
"Bear","Upper","2014-08-03","25","Sunny, Overcast","8:45","1:45","BA","LL","NA",""
"Canyon","Lower","2014-08-03","25","Sunny","9:37","13:08","LN","JN","NA",""
"Cascade","Lower","2014-08-04","25","Partly cloudy","8:15","11:27","JN","LN","NA",""
"Cascade","Upper","2014-08-04","25","Overcast","12:15","2:30","BA","LL","NA",""
"ZigZag","Lower","2014-08-04","26","Sunny","12:49","16:10","LN","JN","NA",""
"ZigZag","Upper","2014-08-04","25","Sunny, Overcast","8:45","11:30","LL","BA","NA",""
"Paradise","Lower","2014-08-05","26","Partly cloudy","10:15","15:06","JN","LN","NA",""
"Paradise","Upper","2014-08-05","26","Sunny, Partly cloudy","1:00","6:15","LL","BA","NA",""
"Bear","Lower","2014-08-06","26","Overcast","8:27","14:28","LN","JN","NA",""
"Canyon","Upper","2014-08-06","26","Sunny","10:45","12:15","BA","LL","NA",""
"Bear","Upper","2014-08-07","26","Overcast, Partly cloudy","10:30","3:30","LL","BA","NA",""
"Canyon","Lower","2014-08-07","26","Partly cloudy","10:27","13:20","JN","LN","NA",""
"Cascade","Lower","2014-08-08","26","Sunny","8:31","11:35","LN","JN","NA",""
"Cascade","Upper","2014-08-08","26","Sunny","1:00","2:45","LL","BA","NA",""
"ZigZag","Lower","2014-08-08","27","Sunny","12:50","15:00","JN","LN","NA",""
"ZigZag","Upper","2014-08-08","26","Sunny","8:45","12:15","BA","LL","NA",""
"Canyon","Upper","2014-08-09","27","Sunny, Partly cloudy","1:30","3:15","LL","BA","NA",""
"Paradise","Lower","2014-08-09","27","Sunny","9:48","16:25","JN","LN","NA",""
"Paradise","Upper","2014-08-09","27","Sunny","8:45","12:45","BA","LL","NA",""
"Bear","Lower","2014-08-10","27","Sunny","9:37","13:45","LN","JN","NA",""
"Bear","Upper","2014-08-10","27","Sunny","8:45","2:00","BA","LL","NA",""
"Canyon","Lower","2014-08-11","27","Sunny","9:27","12:28","LN","JN","NA",""
"ZigZag","Upper","2014-08-11","27","Sunny","8:45","12:00","LL","BA","NA","Rained last night"
"Cascade","Lower","2014-08-12","27","Partly cloudy","9:30","11:56","JN","LN","NA",""
"Cascade","Upper","2014-08-12","27","Sunny, Partly cloudy","8:45","11:00","BA","LL","NA",""
"Bear","Upper","2015-06-15","28","Overcast, Rain","11:00","17:30","JJ","BA","NS",""
"Paradise","Upper","2015-06-18","28","Overcast, Partly cloudy","8:30","2:30","NS","BA","JJ",""
"Bear","Lower","2015-06-20","28","Sunny","8:45","1:00","JJ","NS","BA",""
"ZigZag","Upper","2015-06-20","28","Sunny, Partly cloudy","1:45","6:45","BA","JJ","NS","wier height = 0.45"
"Paradise","Lower","2015-06-26","28","Sunny","8:30","1:00","NS","BA","JJ",""
